Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
售后管理,3955,351,316,426,514,691,212,18628,0.00%,0.2887,17.88,0.48
评价管理--列表,3955,81,70,103,127,283,42,5209,0.00%,0.28871,7.41,0.27
查看评价,3955,76,62,90,111,268,35,15028,0.00%,0.28871,0.53,0.2
评价管理,3955,158,136,191,234,385,86,15100,0.00%,0.2887,7.94,0.47
快递发货--列表,3955,471,338,636,1138,3011,236,11398,0.03%,0.2887,3.6,0.24
查看快递发货,3955,84,68,102,126,278,33,15798,0.03%,0.28873,0.25,0.21
复制快递发货,3955,88,77,120,150,298,43,4342,0.05%,0.28873,0.11,0.55
删除快递发货,3955,113,90,149,203,405,54,4982,0.03%,0.28873,0.11,0.21
快递发货,3955,757,593,980,1584,3924,423,16739,0.10%,0.2887,4.08,1.2
电子面单--列表,3955,74,63,94,115,272,39,4906,0.00%,0.28873,0.34,0.24
新建电子面单,3955,88,68,107,138,291,38,18191,0.00%,0.28871,0.11,0.29
电子面单,3955,163,135,199,252,410,86,18242,0.00%,0.28873,0.46,0.53
角色管理1,3955,164,142,235,315,550,68,1357,0.00%,0.2887,90.38,0.52
659 /bp/static/js/chunk-d9ab.77edff08.js,3955,7,5,15,22,43,2,427,0.00%,0.28871,1.43,0.12
660 /bp/static/css/chunk-d9ab.b07513e3.css,3955,10,6,22,33,45,2,627,0.00%,0.28871,0.27,0.12
661 /api-manager-web/manager/api.do,3955,146,126,209,283,494,59,1321,0.00%,0.2887,88.68,0.29
积分明细1,3955,93,79,115,143,292,48,4684,0.00%,0.28871,4.48,0.56
566 /bp/static/css/chunk-86ee.c86d9c9f.css,3955,11,7,20,29,56,2,4524,0.00%,0.28871,0.29,0.12
567 /bp/static/js/chunk-86ee.3fd56cda.js,3955,7,5,12,19,41,2,414,0.00%,0.28871,2.31,0.12
568 /api-financial-web/financial/api.do,3955,74,65,87,100,265,41,4665,0.00%,0.28871,1.88,0.32
新建商品1,3955,23448,13940,35700,83662,149922,591,157321,0.68%,0.28846,278.27,1.99
224 /bp/static/js/chunk-85f6.4736b501.js,3955,17,11,31,45,76,4,4346,0.00%,0.28871,9.45,0.11
225 /bp/static/css/chunk-3978.f921bc55.css,3955,10,6,17,25,44,2,3021,0.00%,0.28871,1.12,0.12
226 /bp/static/js/chunk-3978.0d9e0b19.js,3955,36,27,62,81,142,9,4647,0.00%,0.28871,33.16,0.11
231 /api-public-web/public/api.do,3955,69,62,87,106,240,37,4440,0.00%,0.28871,0.19,0.27
228 /api-public-web/public/api.do,3955,70,61,82,96,208,35,4647,0.00%,0.28873,5.12,0.28
230 /api-public-web/public/api.do,3955,68,59,85,100,201,36,4650,0.00%,0.28873,0.19,0.27
232 /api-order-web/order/api.do,3955,22909,13442,35228,81976,148738,56,155908,0.68%,0.28848,169.26,0.28
229 /api-commodity-web/commodity/api.do,3954,179,130,251,369,794,73,11498,0.00%,0.28888,51.05,0.27
227 /api-commodity-web/commodity/api.do,3954,86,73,117,147,289,44,4617,0.00%,0.28889,8.89,0.28
会员等级1,3954,279,206,498,630,885,120,4883,0.00%,0.28888,4.1,0.53
432 /bp/static/css/chunk-019a.2baf4a13.css,3954,12,7,27,42,81,2,1010,0.00%,0.28889,0.57,0.12
433 /bp/static/js/chunk-019a.48481db0.js,3954,12,6,25,39,76,2,1023,0.00%,0.28889,1.68,0.12
434 /api-member-web/member/api.do,3954,254,184,462,592,859,111,4853,0.00%,0.28888,1.85,0.29
维权1,3954,4253,3900,5374,6662,10704,2556,15651,0.00%,0.28881,3.93,1.18
544 /bp/static/css/chunk-7ef8.5a8430ea.css,3954,11,6,26,41,74,2,310,0.00%,0.28887,0.39,0.12
543 /bp/static/js/chunk-7ef8.6ce4ab6a.js,3954,13,7,27,40,82,2,1009,0.00%,0.28887,3.12,0.12
545 /api-behavior-web/behavior/api.do,3954,75,67,103,125,257,40,1119,0.00%,0.28887,0.12,0.33
546 /api-behavior-web/behavior/api.do,3954,60,48,80,105,222,26,4583,0.00%,0.28887,0.17,0.28
538 /api-behavior-web/behavior/api.do,3954,4091,3758,5184,6415,10412,2363,15338,0.00%,0.28881,0.12,0.33
评价管理1,3953,153,99,218,326,695,19,11648,0.15%,0.28887,13.62,0.58
358 /bp/static/css/chunk-c883.7076f961.css,3953,29,14,52,86,220,5,4475,0.00%,0.28888,1.83,0.12
359 /bp/static/js/chunk-c883.aaab6061.js,3953,24,11,45,73,197,3,4471,0.00%,0.28886,4.37,0.12
360 /api-order-web/order/api.do,3953,99,71,116,155,299,3,11630,0.15%,0.28886,7.41,0.34
商品标签1,3953,390,310,553,717,1208,208,5884,0.00%,0.28885,6.35,0.53
213 /bp/static/js/chunk-ad1a.03533257.js,3953,19,8,32,49,105,2,4490,0.00%,0.28886,3.86,0.11
212 /bp/static/css/chunk-ad1a.c52b0c2f.css,3953,13,7,27,41,93,2,4557,0.00%,0.28885,0.32,0.12
214 /api-commodity-web/commodity/api.do,3953,357,289,488,665,1100,191,5337,0.00%,0.28885,2.17,0.3
查看售后详情1,3952,115,94,138,168,308,3,16048,0.15%,0.28882,2.16,0.28
409 /api-order-web/order/api.do,3952,115,94,138,168,308,3,16048,0.15%,0.28882,2.16,0.28
店铺设置1,3952,89,62,123,178,364,31,4883,0.00%,0.28882,2.97,0.5
624 /bp/static/css/chunk-5454.63be0156.css,3952,16,7,31,46,100,2,4606,0.00%,0.28883,0.32,0.12
625 /bp/static/js/chunk-5454.41d1f990.js,3952,15,6,27,42,105,2,4608,0.00%,0.28883,2.08,0.11
626 /api-manager-web/manager/api.do,3952,57,45,74,92,165,20,4799,0.00%,0.28882,0.58,0.27
积分管理1,3952,210,164,307,409,848,96,6436,0.00%,0.2888,14.51,0.78
428 /bp/static/css/chunk-09a0.13378698.css,3952,14,7,29,45,123,2,1025,0.00%,0.2888,0.88,0.12
429 /bp/static/js/chunk-09a0.10f6bc0c.js,3952,39,20,72,116,295,5,4972,0.00%,0.2888,11.98,0.11
431 /api-manager-web/manager/api.do,3952,54,45,73,92,233,22,4662,0.00%,0.2888,0.58,0.27
430 /api-member-web/member/api.do,3952,100,86,136,165,290,53,4537,0.00%,0.2888,1.07,0.27
交易设置1,3952,91,64,137,210,459,33,5075,0.00%,0.2888,5.5,0.5
634 /bp/static/js/chunk-37f1.766124bb.js,3952,20,10,39,59,201,3,4849,0.00%,0.2888,4.53,0.11
635 /bp/static/css/chunk-37f1.737c5177.css,3952,18,7,32,52,129,2,4599,0.00%,0.2888,0.39,0.12
636 /api-manager-web/manager/api.do,3952,52,44,70,93,182,20,4700,0.00%,0.2888,0.58,0.27
每日营收1,3952,107,80,151,220,444,46,4963,0.00%,0.2888,2.85,0.55
557 /bp/static/js/chunk-3096.e285b0e5.js,3952,15,6,28,43,121,2,4525,0.00%,0.2888,1.29,0.12
556 /bp/static/css/chunk-3096.4f6d2424.css,3952,15,7,30,43,114,2,4775,0.00%,0.2888,0.29,0.12
558 /api-financial-web/financial/api.do,3952,75,64,97,131,269,42,4585,0.00%,0.2888,1.27,0.31
